City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
237,Bandarbeyla,SO,2022-10-14 22:33:56,9.4942,50.8122,76.71,89,36,10.56
238,Talara,PE,2022-10-14 22:33:56,-4.5772,-81.2719,63.27,85,5,18.05
239,Burnie,AU,2022-10-14 22:33:18,-41.0667,145.9167,55.94,69,63,12.46
240,Aasiaat,GL,2022-10-14 22:33:57,68.7098,-52.8699,20.91,72,100,5.26
241,Malanje,AO,2022-10-14 22:33:58,-9.5402,16.341,67.17,88,96,2.15
242,Coihaique,CL,2022-10-14 22:33:58,-45.5752,-72.0662,55.35,47,0,10.36
243,Vila Velha,BR,2022-10-14 22:32:35,-20.3297,-40.2925,76.95,85,75,9.22
244,Lata,PT,2022-10-14 22:33:59,40.1629,-8.3327,64.81,98,28,1.57
245,Rio Gallegos,AR,2022-10-14 22:33:59,-51.6226,-69.2181,66.25,30,75,13.8
246,Svetlyy,RU,2022-10-14 22:34:00,54.675,20.1347,50.05,80,62,9.55
247,La Palma,US,2022-10-14 22:33:04,33.8464,-118.0467,77.94,75,100,9.22
248,Saldanha,ZA,2022-10-14 22:34:00,-33.0117,17.9442,59.05,85,7,17.07
249,Tavda,RU,2022-10-14 22:32:14,58.0425,65.2726,41.86,94,63,5.26
250,Severo-Kurilsk,RU,2022-10-14 22:32:21,50.6789,156.125,46.98,83,17,7.9
251,Port Elizabeth,ZA,2022-10-14 22:34:01,-33.918,25.5701,61.09,99,100,8.05
252,Cabo San Lucas,MX,2022-10-14 22:31:31,22.8909,-109.9124,87.19,57,0,16.11
253,Russell,US,2022-10-14 22:34:02,32.3502,-85.1999,78.08,29,0,0.0
254,Zabid,YE,2022-10-14 22:34:02,14.1951,43.3152,85.41,56,6,2.8
255,Luderitz,NA,2022-10-14 22:34:03,-26.6481,15.1594,63.5,65,97,17.36
256,Marzuq,YE,2022-10-14 22:34:03,14.4,46.4667,68.85,64,49,3.96
257,Mumford,GH,2022-10-14 22:34:04,5.2618,-0.759,76.84,88,95,8.72
258,Levokumskoye,RU,2022-10-14 22:34:04,44.8219,44.6606,56.5,89,100,6.15
259,Ciudad Bolivar,VE,2022-10-14 22:34:05,8.1222,-63.5497,82.71,60,86,7.87
260,Fortuna,US,2022-10-14 22:34:05,40.5982,-124.1573,61.72,79,0,6.91
261,Port Hardy,CA,2022-10-14 22:30:57,50.6996,-127.4199,51.98,93,40,3.44
262,Christchurch,NZ,2022-10-14 22:30:57,-43.5333,172.6333,56.41,58,100,18.41
263,Dandong,CN,2022-10-14 22:34:06,40.1292,124.3947,50.99,87,16,3.67
264,Shubarshi,KZ,2022-10-14 22:34:07,48.5872,57.1869,49.82,62,91,4.25
265,Boa Vista,BR,2022-10-14 22:29:34,2.8197,-60.6733,82.38,65,75,4.61
266,Yarmouth,US,2022-10-14 22:35:07,41.7057,-70.2286,64.96,98,40,5.75
267,Ponta Do Sol,PT,2022-10-14 22:35:08,32.6667,-17.1,72.01,69,83,4.7
268,Roebourne,AU,2022-10-14 22:35:08,-20.7833,117.1333,72.18,37,4,9.15
269,Motygino,RU,2022-10-14 22:35:09,58.1831,94.7592,28.78,91,68,1.57
270,Mbekenyera,TZ,2022-10-14 22:35:09,-10.0,38.9833,66.92,86,7,3.49
271,Touros,BR,2022-10-14 22:30:41,-5.1989,-35.4608,78.06,77,2,17.56
272,Atambua,ID,2022-10-14 22:35:10,-9.1061,124.8925,78.48,72,76,2.75
